review_id,bank_name,content_preprocessed,content_stemmed,score,sentiment,aspects,num_aspects
a53f0cf0-a3f4-4e42-b44d-a2519150b725,AlloBank,mulai jt bisa punya deposito simple aman gak perlu pikir panjang,mulai jt bisa punya deposito simple aman gak perlu pikir panjang,5,Positive,UI/UX|Security|Features,3
6a9c5d18-8710-40e7-be4a-7d1cd4339a2e,AlloBank,nabungnya low effort tapi hasilnya keliatan cocok buat orang gampang lupa nabung,nabungnya low effort tapi hasil liat cocok buat orang gampang lupa nabung,5,Positive,UI/UX,1
862b5675-eb70-4788-b224-ce789685a41a,AlloBank,gue jadi lebih tenang punya cadangan cocok buat dana keluarga,gue jadi lebih tenang punya cadang cocok buat dana keluarga,5,Positive,General,1
8965a30e-e4ad-46c5-91ea-44840bd9233e,AlloBank,nggak ribet sama sekali poin plus buat gue cara paling enak mulai nabung,nggak ribet sama sekali poin plus buat gue cara paling enak mulai nabung,5,Positive,Features,1
30d88226-d255-466d-b461-440873558289,AlloBank,aplikasinya ringan transfernya lancar kalau jam gak sibuk,aplikasi ringan transfer lancar kalau jam gak sibuk,5,Positive,Performance|Transaction|General,3
a5993355-7909-4550-ab3f-13c34b5629cb,AlloBank,paylaternya beneran ngebantu pas lagi banyak kebutuhan bisa cicil sd bulan,paylaternya beneran ngebantu pas lagi banyak butuh bisa cicil sd bulan,5,Positive,Performance|Features,2
088ccadd-8286-4967-ad8c-971bc5c8e56a,AlloBank,allo grow salah satu bikin gue pake allo bank karena budgeting jadi fun bukan beban,allo grow salah satu bikin gue pake allo bank karena budgeting jadi fun bukan beban,5,Positive,General,1
3a867de1-aad1-4b94-8c6e-96f8b658bed3,AlloBank,gue bikin satu deposito khusus buat keperluan mendadak soalnya sini bisa ditarik kalo butuh terus gak ada potongan lagi,gue bikin satu deposito khusus buat perlu dadak soal sini bisa tarik kalo butuh terus gak ada potong lagi,5,Positive,Performance|Transaction|Features,3
a7d71b7a-05e1-42c3-ae2c-2033f11467d7,AlloBank,walaupun suka ngelag tetap jadi andalan gue sering pake buat makan siang apalagi pas akhir bulan,walaupun suka ngelag tetap jadi andal gue sering pake buat makan siang apalagi pas akhir bulan,5,Positive,Performance,1
2dd27641-14c5-4bd0-9b97-07c85a6466b7,AlloBank,cicilan paylaternya ringan gak bikin panik limitnya bantu pas akhir bulan,cicil paylaternya ringan gak bikin panik limit bantu pas akhir bulan,5,Positive,Performance|Transaction|Features,3
b4a0d5ae-3145-4ae5-80d3-169fd612a389,AlloBank,tiap hari nyisihin ribu aja udah keliatan naiknya gue pake buat simpen uang kembalian warung,tiap hari nyisihin ribu aja udah liat naik gue pake buat simpen uang kembali warung,5,Positive,General,1
e88ba2f9-60ae-4bfe-8e6e-c275a84e9c67,AlloBank,aplikasi keren,aplikasi keren,5,Positive,General,1
89cf98fa-e0e4-4d71-89a5-01c5c8f91169,AlloBank,nabung kecilkecil tapi konsisten tuh ternyata ngaruh banget gue jadi punya tabungan iseng malah tumbuh,nabung kecilkecil tapi konsisten tuh nyata ngaruh banget gue jadi punya tabung iseng malah tumbuh,5,Positive,General,1
8a6cc360-d809-4d9c-8889-df4a96aa45e7,AlloBank,selama free transfer masih jalan gue gak pindah delay sedikit bisa dimaklumin demi gratisnya,lama free transfer masih jalan gue gak pindah delay sedikit bisa dimaklumin demi gratis,5,Positive,Performance|Transaction|Security,3
11356dee-b246-4d9d-ad22-ab39cfcc0358,AlloBank,gue suka fleksibilitasnya cicilan bisa dipilih penting,gue suka fleksibilitas cicil bisa pilih penting,5,Positive,General,1
f0a7eddc-5aa4-4013-ba0e-0e9ed8863082,AlloBank,minimalis tapi berfungsi penting konsisten sisanya allo grow bantu,minimal tapi fungsi penting konsisten sisa allo grow bantu,5,Positive,General,1
8ccfe89b-431b-4af4-9fb1-649c44c48fd5,AlloBank,selama pake allobank banyak promonya ga pernah ngelag jugaaplikasinya ringan gratis biaya admin bayar apa aja selalu pake,lama pake allobank banyak promonya ga pernah ngelag jugaaplikasinya ringan gratis biaya admin bayar apa aja selalu pake,5,Positive,Performance|Transaction|Customer Service|Features|General,5
1dab305b-dcaa-4b81-8912-bc46d348c0db,AlloBank,allo grownya ngebantu banget bunga jalan terus meskipun gue lagi lupa nabung beneran ngebantu disiplin,allo grownya ngebantu banget bunga jalan terus meski gue lagi lupa nabung beneran ngebantu disiplin,5,Positive,Performance,1
5ecf1773-a314-4c4a-b99f-4ff89a65f08d,AlloBank,ga ada adab nih cs nya ngespam telfn cuma buat nyuruh pay later mana pake suara robot lagi ganggu org istirahat sma ganggu orang kerja aja,ga ada adab nih cs nya ngespam telfn cuma buat nyuruh pay later mana pake suara robot lagi ganggu org istirahat sma ganggu orang kerja aja,1,Negative,Performance|Customer Service,2
51929111-6576-4108-80ef-d4393f7231f8,AlloBank,suka banget sama konsepnya ringan nabung berapapun bisa tetap ada pertumbuhannya,suka banget sama konsep ringan nabung berapa bisa tetap ada tumbuh,5,Positive,Performance,1
5f6320bd-cdaf-45e9-9807-471b1489077f,AlloBank,gue upgrade karena kesel bayar admin mulu ternyata pas pake allo prime solved banget,gue upgrade karena kesel bayar admin mulu nyata pas pake allo prime solved banget,5,Positive,Transaction|Customer Service,2
83a80389-5781-4a30-9c6d-c0bc068fa533,AlloBank,ngasih notifikasi begitu download nggak acc,ngasih notifikasi begitu download nggak acc,1,Negative,General,1
fc74a67f-b437-4fd7-8ead-4527ea56010c,AlloBank,aplikasi allo bank sangat membantu sekali tarik dana cepat instan realtime gratis transfer banyak promonya ada diskon cashback spesial,aplikasi allo bank sangat bantu sekali tarik dana cepat instan realtime gratis transfer banyak promonya ada diskon cashback spesial,5,Positive,Performance|Transaction|Features|General,4
65fcfd1f-7f86-406d-acf1-d7f5aaa28d87,AlloBank,pas pertama kali buka gue agak takut tapi prosesnya halus banget semuanya gampang terus cepet lagi,pas pertama kali buka gue agak takut tapi proses halus banget semua gampang terus cepet lagi,5,Positive,UI/UX|Performance,2
f149f8e8-8b64-47d2-a655-87e1cdd54810,AlloBank,kadang limit turun tapi yaudah promonya masih bikin senyum bisa jajan mana aja tanpa worry,kadang limit turun tapi yaudah promonya masih bikin senyum bisa jajan mana aja tanpa worry,5,Positive,Transaction|Features,2
a8796d78-ad65-4eba-9c34-bcd854677ed5,AlloBank,deposito allo tuh kayak langkah kecil buat investasi pertama cocok buat mau nyimpen uang jangka panjang tanpa mikir banyak,deposito allo tuh kayak langkah kecil buat investasi pertama cocok buat mau nyimpen uang jangka panjang tanpa mikir banyak,5,Positive,Features,1
d09bd193-4956-4af2-adf3-72d8985f2d35,AlloBank,penting tagihan jelas ga bikin degdegan tibatiba sejauh paylaternya masih oke lah,penting tagih jelas ga bikin degdegan tibatiba jauh paylaternya masih oke lah,5,Positive,UI/UX|Features,2
ef74cda1-0a18-4d5b-b7e2-70fadbceee86,AlloBank,baru definisi uang kerja buat gue bunganya oke banget buat deposito,baru definisi uang kerja buat gue bunga oke banget buat deposito,5,Positive,Features,1
887994ba-5a07-4633-8945-bda0023358c7,AlloBank,sejak upgrade allo prime gue jadi sering bantuin orang transfertransferin karena gratis hahaha,sejak upgrade allo prime gue jadi sering bantuin orang transfertransferin karena gratis hahaha,5,Positive,UI/UX|Transaction,2
e2c0ab0f-4c4c-4120-ac3f-b844590be502,AlloBank,rekomend banget aplikasinya apalagi karena qris allo primepaylater bikin transaksi merchant jadi lebih mudah ditambah fiturfiturnya lengkap praktis hemat biaya admin proses pembukaan rekeningnya pun simple ga bikin ribet ga harus nunggu lama bintang deh buat allo bank,rekomend banget aplikasi apalagi karena qris allo primepaylater bikin transaksi merchant jadi lebih mudah tambah fiturfiturnya lengkap praktis hemat biaya admin proses buka rekening pun simple ga bikin ribet ga harus nunggu lama bintang deh buat allo bank,5,Positive,UI/UX|Performance|Transaction|Customer Service|Features|Registration|General,7
10be4a8f-43a2-474e-866a-51842bb05741,AlloBank,baru deposit allo bank pakai allo deposito gampang banget tanpa ribet puas sama hasilnya,baru deposit allo bank pakai allo deposito gampang banget tanpa ribet puas sama hasil,5,Positive,UI/UX|Features|General,3
9445eb02-9503-49c7-8169-0b77ab7d84e7,AlloBank,aplikasi anehsaya isi saldo kespay latersaya tagih dianggapa hutangpadahal saldo spay later cuma ada,aplikasi anehsaya isi saldo kespay latersaya tagih dianggapa hutangpadahal saldo spay later cuma ada,1,Negative,Transaction|General,2
dc0d3e3c-c48f-4cba-bffa-704200e1aff7,AlloBank,sebagai pengguna baru happy banget pake allobank banyak fitur fitur menarik yg menguntungkan gratis transfer yg bikin hemat paylaternya juga cepet banget approval nya the bestt dehh,bagai guna baru happy banget pake allobank banyak fitur fitur tarik yg untung gratis transfer yg bikin hemat paylaternya juga cepet banget approval nya the bestt dehh,5,Positive,Performance|Transaction|Features|Registration|General,5
3c6b9dd6-aac5-4f85-a2eb-9b608c237922,AlloBank,mantap transaksi mudah cepat moga sukses kedepannya,mantap transaksi mudah cepat moga sukses depan,5,Positive,UI/UX|Performance|Transaction,3
9a4a984b-1560-4818-9ae3-a8d23a07920a,AlloBank,kasih bintang dulu kerna baru coba,kasih bintang dulu kerna baru coba,2,Negative,General,1
6128d557-b1f0-4947-b579-c31c753c9687,AlloBank,sangat mempermudah transaksi,sangat mudah transaksi,4,Positive,UI/UX|Transaction,2
998d8ed6-69c7-451c-b0a5-9496a0ef9b25,AlloBank,okey,okey,5,Positive,General,1
893e427e-fb6b-46fd-8d64-cba472d5dcda,AlloBank,min allobank saya lupa pasword pas klik lupa pasword ada kirim otp wa atau sms tapi ko ga nyampe min ditunggu beberapa kali refresh juga tetep aja yg ada pasword lupa minta kirim ulang otp tapi wa atau sms ga masuk kode otp nya uang saya masih ada akun allobank,min allobank saya lupa pasword pas klik lupa pasword ada kirim otp wa atau sms tapi ko ga nyampe min tunggu beberapa kali refresh juga tetep aja yg ada pasword lupa minta kirim ulang otp tapi wa atau sms ga masuk kode otp nya uang saya masih ada akun allobank,2,Negative,Transaction|Security|General,3
013540b2-c2c8-4e86-b660-8d55224a8fea,AlloBank,allobank hadir tampilan modern fitur pembayaran lengkap proses transaksi cepat sehingga nyaman digunakan kebutuhan finansial seharihari,allobank hadir tampil modern fitur bayar lengkap proses transaksi cepat sehingga nyaman guna butuh finansial seharihari,5,Positive,UI/UX|Performance|Transaction|Security|Features|General,6
bd112738-7674-4ae6-8790-9ff3b4b7eb99,AlloBank,membantu,bantu,5,Positive,General,1
45e8b4bb-7a50-49db-83d6-3f22327f1d6b,AlloBank,allobank menawarkan layanan perbankan digital praktis mulai pembayaran hingga tabungan tampilan aplikasi sederhana mudah dipahami,allobank tawar layan perban digital praktis mulai bayar hingga tabung tampil aplikasi sederhana mudah paham,5,Positive,UI/UX|Transaction|General,3
25170b1e-0b1c-4ee4-86c2-9a73b016a5f5,AlloBank,suatu hari aku coba allo bank karena penasaran fitur digitalnya ternyata buka tabungan transaksi dalam aplikasinya terasa cepat simpel,suatu hari aku coba allo bank karena penasaran fitur digital nyata buka tabung transaksi dalam aplikasi asa cepat simpel,5,Positive,Performance|Transaction|Features|General,4
8444b6ee-4eaa-4c34-bd14-ecc5bf440512,AlloBank,mah sama aja duit sendiri paylater ko top up sendiri saldonya abis diatur lg nnti bayar tiap bulan kalo transaksi ga ada manfaatnya mending transaksi langsung aja kecewa saya duit ga bisa balikin lg kalo buat transaksi harus bayar lg sama aja bohong duit sendiri judulnya paylater hadeh,mah sama aja duit sendiri paylater ko top up sendiri saldo abis atur lg nnti bayar tiap bulan kalo transaksi ga ada manfaat mending transaksi langsung aja kecewa saya duit ga bisa balikin lg kalo buat transaksi harus bayar lg sama aja bohong duit sendiri judul paylater hadeh,1,Negative,UI/UX|Transaction|Features,3
e55215a0-e38f-4498-92e2-1a87cf571622,AlloBank,pengen simpen uang lebih rapih jadinya coba deposito sini ternyata bunganya lumayan juga,ken simpen uang lebih rapih jadi coba deposito sini nyata bunga lumayan juga,5,Positive,UI/UX|Features,2
